pk,champion
bf02b18c07794ea4a85061a50ad76bed,3f09479402cc40d4a25b2ed8d2e8c99e
bf2b92562c7c4d228489c7f6229fe794,3555bb0a99cc42bda23162023d75845c
bfb113b5db5649c790822ca20865577f,dd34c6fd56d04359872b2f00ba075f00
c3d1a735aae94077a0f43a674485449c,3b466ba3a781467498df3d045c37ebe7
c47d35b16a454755a9e5b642d4fb44f4,66a349f8b4954e719632b3165c45f6e0
c55b96dad45f4becb43550011e27b867,bdca8a373b4e4a1eb5dd1dc5928fa13d
c57e378213c8419ea113ba9fe0b926a1,8d0d6e4da6d34cb2b60cb194fe171131
c6476b2a6bef4f2a997b66c020425ee4,8b2574b1373641c9ac3bd3ac2b0636ba
c649f860e367417881bea61e2f6967aa,d7df2e76f0a84a8999c12bb06d0bf663
c8ca4aa1c18e4dd1ad848010bfb6dfa2,6b9c93aa216d4cfb98d8debda759218a
c9a5b96e4f1f4deb96327ae727f88f0f,f690e50cc39948cebd13766d981ab548
ca6e23aae5364154ad8b45b8f49feb7d,2f445f1eb69d4ce5882146a01ed86f92
cb6ab94f1e4342b39a3db8cd426381c4,2092733bbb144191a18432e650dedf20
cb86cb4e39164374b0e08f9ed669379e,ee486711cd434388beee8a56b2cd002f
cdbfe46a3b8948c7b698c94119b0895a,34f4cb0a1eca472bafdc9306bf33a04f
ce7d0d3a452045daac34b9586dda8f11,0717fdd335594ae5b35b070e04a24a16
d8b578d79d664e69b978f7f3664e8d06,62f79a2c11654f1bb4152db404398c1f
d8ed8c413bd548ae8049365901b586bb,f05a5de60f034821b875ea320b687eb2
d90345bd785d48dcb89b1299c329fa80,31a9fed9a420400eab483dea54c2634b
d9077f4afa374234b2a14bb52e08089c,bdfe1c61a9b04ccbaf047435d64efb08
dafabdd7e76e428581cecb3c35abf86e,8d6ce1a3870b45929e19b6878854adcb
dd0f6420729b4c7891b221032bd4e997,2c324fa6ca894f5a9e137b9b99432dcb
dd740722435e4369abd47fb71a028e98,e0f08fa125f9474cabb4abbcb6071703
e001e54ef90d4b20abcea1dd59eb5fa2,c923f06a01e3475eafafefe80d4693ed
e24d6eb9d71b4caba5eb47b0bb84270b,4f67686b0d8f4f64ba31109118f9d191
e27c65f20416422090f5b76731d63011,40fb1f55329b4a54bda3dee6ed2d7422
e72e6db1260d43c5925b68cceb9a22fb,d92ae25c59564aea92356c49daf9b9fd
e9565e3473544f279864ce06258ae2b7,8f68731c97d84cb281bca07bf44f0f1c
ecf9f2f0764e4ed89d49c8f359eaa280,dcc0b7f69da644a8bbbae235b09fd876
eec5ee3ce3064d988e38d1fb96303b79,64ddd65467d443c886137f0c0ca68d37
eec7444e28e9401a8271c30d88793123,c739c0dd62804b28bdc949766fffd654
f0cacab3eff945a1b93bc529703a902e,1f66956f3a5a4ee0bdf507b920c85247
f556c3ea969543dd9cec76754fe32abb,b27c0edeea3942e6ac1c5c09b4cb4ac3
f5c6a5b56ff94cff8b7f57292c7084fe,9db34dafade247529f84edf258d77a59
f628e106b83e4007b72a6c3ab1375b4c,099426852c56438fba65594ed8f9bd99
f66e9feddd2e4037bf915a94e2856fca,a990ce06daab493baf356e54ef9641e5
f8323646e7e64b8cb644604e04e6611c,c8e608ac05c14177856cc0eb19ef46e5
f96f5f39ec394b2ca2f2df126a1ac165,e5d65f0daf634e69a4d18f963379f862
f97f9e3748e241bdb8241b66998e191b,7445a362d4d142fbb9585ed23ebc7846
fd56176f5d5e4e96bde55ee1a68a1a5b,c1fabfabd5fa4b63896fc04dea665b10
fdb642b63ce844d1823a09f275b14091,d66d65460a2543e4a3e8762c29f7841e
ff48a2e571e241b189f7fec657e0657b,bb4c60890ffb450aa0678f12ceaa29c0
ffa8a893de004a8bb6a5c8ac709be207,38dc539e0ad04a23b14c4b2904750245
00967ec9dffb46329899b771090a2342,e9f224f7288a49019398b7bb41fe8944
