BBSTIX, BHS, Northern & Western Division Quartet and Chorus Convention
Mid-Atlantic District, madnw, Cherry Hill, New Jersey, June 6, 2015
Subsessions: Chorus Finals (24), 1=Northern Division Chorus, 2=Western Division Chorus, 3=Northern Division Chorus District Qualification (Score), 4=Western Division Chorus District Qualification (Score), 5=Northern Division Out of Division Chorus (Score), 6=Western Division Plateau A Chorus, 7=Northern Division Plateau AA Chorus, 8=Western Division Plateau AA Chorus, 9=Northern Division Plateau AAA Chorus, 10=Western Division Plateau AAA Chorus, 11=Northern Division Plateau AAAA Chorus, 12=Western Division Plateau AAAA Chorus, 13=Northern Division Most-Improved Chorus (Raw), 14=Western Division Most-Improved Chorus (Raw), 15=Northern Division Scores for Evaluation Only
Subsessions: Quartet Finals (34), 1=Mid-Atlantic District International Preliminary Seniors Qt (Overall), 2=Northern Division Quartet, 3=Western Division Quartet, 4=Northern Division Quartet District Qualification (Overall), 5=Western Division Quartet District Qualification (Overall), 6=Northern Division Out Of Division Quartet (Overall), 7=Northern Division Novice Quartet, 8=Western Division Novice Quartet
Judge Count: 10
Panel - Chorus Finals:, "1 (MUS)=Bureau, Anne", "2 (MUS)=Cerutti, Joe", "3 (MUS)=Mance, Rob", "4 (PRS)=Fobart, Dave", "5 (PRS)=Lavene, Ritchie", "6 (PRS)=Mallett, John", "7 (SNG)=DeBusman, Jim", "8 (SNG)=Jakovac, Ig", "9 (SNG)=Lewellen, Richard", "51 (MUS)=Zimmerman, David"
Panel - Quartet Finals:, "1 (MUS)=Bureau, Anne", "2 (MUS)=Cerutti, Joe", "3 (MUS)=Mance, Rob", "4 (PRS)=Fobart, Dave", "5 (PRS)=Lavene, Ritchie", "6 (PRS)=Mallett, John", "7 (SNG)=DeBusman, Jim", "8 (SNG)=Jakovac, Ig", "9 (SNG)=Lewellen, Richard", "51 (MUS)=Zimmerman, David"
Session: Chorus Finals, "Contestant Name: Patapsco Valley, MD", "Subsessions: 2,4,10,14", OA: 11, Song Nbr: 1, "Song Title: Let's Get Away From It All", 65, 64, 66, 63, 64, 62, 67, 65, 66, 65
Session: Chorus Finals, "Contestant Name: Patapsco Valley, MD", "Subsessions: 2,4,10,14", OA: 11, Song Nbr: 2, "Song Title: The Showboat Came To Town", 62, 62, 64, 61, 60, 62, 64, 62, 62, 63
Session: Chorus Finals, "Contestant Name: York, PA", "Subsessions: 2,4,6,14", OA: 12, Song Nbr: 1, "Song Title: Sweet, Sweet Roses Of Morn", 55, 52, 53, 47, 48, 54, 50, 50, 46, 52
Session: Chorus Finals, "Contestant Name: York, PA", "Subsessions: 2,4,6,14", OA: 12, Song Nbr: 2, "Song Title: Aura Lee/Love Me Tender (Medley)", 55, 52, 51, 49, 48, 51, 50, 50, 46, 51
Session: Chorus Finals, "Contestant Name: Five Towns College, NY", "Subsessions: 1,3,11,13", OA: 13, Song Nbr: 1, "Song Title: I'm Knee Deep In Daisies", 73, 77, 76, 74, 70, 73, 72, 75, 73, 73
Session: Chorus Finals, "Contestant Name: Five Towns College, NY", "Subsessions: 1,3,11,13", OA: 13, Song Nbr: 2, "Song Title: The Sweetheart Of Sigma Chi", 71, 76, 76, 72, 70, 71, 70, 72, 72, 72
Session: Chorus Finals, "Contestant Name: Caldwell, NJ", "Subsessions: 1,3", OA: 14, Song Nbr: 1, "Song Title: My Ideal", 77, 77, 80, 82, 78, 79, 73, 77, 79, 76
Session: Chorus Finals, "Contestant Name: Caldwell, NJ", "Subsessions: 1,3", OA: 14, Song Nbr: 2, "Song Title: When My Baby Smiles At Me", 76, 78, 80, 81, 77, 80, 73, 76, 79, 78
Session: Chorus Finals, "Contestant Name: Wilkes Barre, PA", "Subsessions: 1,3,7,13", OA: 15, Song Nbr: 1, "Song Title: Let's Get Away From It All", 59, 58, 56, 64, 61, 59, 63, 60, 58, 58
Session: Chorus Finals, "Contestant Name: Wilkes Barre, PA", "Subsessions: 1,3,7,13", OA: 15, Song Nbr: 2, "Song Title: That's An Irish Lullaby", 60, 58, 53, 62, 59, 58, 63, 60, 56, 58
