BBSTIX, BHS, International Quartet Preliminaries and District Chorus Convention
Pioneer District, Battle Creek, Michigan, April 25, 2015
Subsessions: Chorus Finals (13), 1=Pioneer District Chorus, 2=Pioneer District Plateau 1 Chorus, 3=Pioneer District Plateau 2 Chorus, 4=Pioneer District Scores for Evaluation Only
Subsessions: Quartet Semi-Finals (14), 1=Pioneer District International Preliminary Quartet (2 Rounds), 2=Pioneer District Out Of District Qt Prelims (2 Rounds), 3=Pioneer District International Preliminary Collegiate Qt (DR/Score), 4=Pioneer District Seniors Quartet, 5=Pioneer District Scores for Evaluation Only
Subsessions: Quartet Finals (9), 1=Pioneer District International Preliminary Quartet (2 Rounds), 2=Pioneer District Out Of District Qt Prelims (2 Rounds)
Judge Count: 9
Panel - Chorus Finals:, "1 (MUS)=Porter, Adam", "2 (MUS)=Sparks, Tony", "3 (PRS)=Dunckel, Kevin", "4 (PRS)=Gipp, George", "5 (SNG)=Haflett, Harry", "6 (SNG)=McFadden, Bob", "51 (PRS)=O'Dell, Brian", "52 (PRS)=Smeltz, Doug"
Panel - Quartet Finals:, "1 (MUS)=Porter, Adam", "2 (MUS)=Sparks, Tony", "3 (PRS)=Dunckel, Kevin", "4 (PRS)=Gipp, George", "5 (SNG)=Haflett, Harry", "6 (SNG)=McFadden, Bob", "51 (MUS)=Boegehold, Evan", "52 (PRS)=O'Dell, Brian", "53 (PRS)=Smeltz, Doug"
Panel - Quartet Semi-Finals:, "1 (MUS)=Porter, Adam", "2 (MUS)=Sparks, Tony", "3 (PRS)=Dunckel, Kevin", "4 (PRS)=Gipp, George", "5 (SNG)=Haflett, Harry", "6 (SNG)=McFadden, Bob", "51 (MUS)=Boegehold, Evan", "52 (PRS)=O'Dell, Brian", "53 (PRS)=Smeltz, Doug"
Session: Quartet Semi-Finals, "Contestant Name: RedZone", "Subsessions: 2", OA: 9, Song Nbr: 1, "Song Title: You've Really Got A Hold On Me", 78, 75, 76, 80, 75, 82, 75, 78, 77
Session: Quartet Semi-Finals, "Contestant Name: RedZone", "Subsessions: 2", OA: 9, Song Nbr: 2, "Song Title: The Way You Look Tonight", 77, 78, 78, 80, 78, 79, 75, 78, 79
Session: Quartet Semi-Finals, "Contestant Name: Rolls Voyce", "Subsessions: 1,4", OA: 10, Song Nbr: 1, "Song Title: Being With You", 72, 75, 69, 70, 71, 74, 74, 78, 73
Session: Quartet Semi-Finals, "Contestant Name: Rolls Voyce", "Subsessions: 1,4", OA: 10, Song Nbr: 2, "Song Title: Honey/Little 'Lize (Medley)", 71, 73, 68, 70, 72, 73, 73, 79, 74
Session: Quartet Semi-Finals, "Contestant Name: Majestyx", "Subsessions: 1", OA: 11, Song Nbr: 1, "Song Title: There's A Rainbow 'Round My Shoulder", 79, 73, 74, 78, 76, 80, 75, 79, 74
Session: Quartet Semi-Finals, "Contestant Name: Majestyx", "Subsessions: 1", OA: 11, Song Nbr: 2, "Song Title: Forgive Me", 79, 73, 77, 77, 77, 77, 74, 81, 75
Session: Quartet Semi-Finals, "Contestant Name: Olde Thyme Harmony Quartet", "Subsessions: 1", OA: 12, Song Nbr: 1, "Song Title: Old Piano Roll Blues", 65, 63, 63, 65, 63, 63, 66, 64, 64
Session: Quartet Semi-Finals, "Contestant Name: Olde Thyme Harmony Quartet", "Subsessions: 1", OA: 12, Song Nbr: 2, "Song Title: Side By Side", 66, 62, 61, 65, 60, 62, 65, 63, 65
Session: Quartet Semi-Finals, "Contestant Name: Fundamentally Sound", "Subsessions: 5", OA: 13, Song Nbr: 1, "Song Title: Old Piano Roll Blues", 62, 60, 66, 66, 62, 61, 62, 62, 62
Session: Quartet Semi-Finals, "Contestant Name: Fundamentally Sound", "Subsessions: 5", OA: 13, Song Nbr: 2, "Song Title: Smile", 62, 61, 65, 66, 64, 62, 64, 62, 60
Session: Quartet Semi-Finals, "Contestant Name: Right on Q", "Subsessions: 1", OA: 14, Song Nbr: 1, "Song Title: I'm Looking Over A Four Leaf Clover", 67, 62, 67, 67, 64, 65, 69, 67, 62
Session: Quartet Semi-Finals, "Contestant Name: Right on Q", "Subsessions: 1", OA: 14, Song Nbr: 2, "Song Title: There Goes My Heart", 69, 62, 68, 67, 65, 66, 69, 66, 61
