BBSTIX, BHS, International Quartet/Chorus Preliminaries and District/Division Quartet/Chorus Convention
Northeastern District, Burlington, Vermont, October 17, 2015
Subsessions: Chorus Finals (21), 1=Northeastern District International Preliminary Chorus, 2=Northeastern District Chorus, 3=Northeastern District Plateau A Chorus, 4=Northeastern District Plateau AA Chorus, 5=Northeastern District Most-Improved Chorus
Subsessions: Quartet Finals (11), 1=Northeastern District International Preliminary Quartet (2 Rounds), 2=Northeastern District Quartet (2 Rounds)
Subsessions: Quartet Semi-Finals (38), 1=Northeastern District International Preliminary Quartet (2 Rounds), 2=Northeastern District Quartet (2 Rounds), 3=Northeastern District International Preliminary Seniors Qt (DR/Score), 4=Northeastern District Seniors Quartet, 5=Northeastern District Most Improved Quartet, 6=Northeastern District Novice Quartet, 7=Northeastern District Scores for Evaluation Only
Judge Count: 10
Panel - Chorus Finals:, "1 (MUS)=Johnson, Steve", "2 (MUS)=Porter, Adam", "3 (MUS)=Tramack, Steve", "4 (PRS)=Fobart, Dave", "5 (PRS)=Janes, Steve", "6 (PRS)=Orff, Judd", "7 (SNG)=Comer, Dale", "8 (SNG)=Emery, Jim", "9 (SNG)=Tramack, Renee"
Panel - Quartet Finals:, "1 (MUS)=Johnson, Steve", "2 (MUS)=Porter, Adam", "3 (MUS)=Tramack, Steve", "4 (PRS)=Fobart, Dave", "5 (PRS)=Janes, Steve", "6 (PRS)=Orff, Judd", "7 (SNG)=Comer, Dale", "8 (SNG)=Emery, Jim", "9 (SNG)=Tramack, Renee", "51 (SNG)=Massa, Sebby"
Panel - Quartet Semi-Finals:, "1 (MUS)=Johnson, Steve", "2 (MUS)=Porter, Adam", "3 (MUS)=Tramack, Steve", "4 (PRS)=Fobart, Dave", "5 (PRS)=Janes, Steve", "6 (PRS)=Orff, Judd", "7 (SNG)=Comer, Dale", "8 (SNG)=Emery, Jim", "9 (SNG)=Tramack, Renee", "51 (SNG)=Nester, Stephen"
Session: Quartet Semi-Finals, "Contestant Name: FIRE AWAY!", "Subsessions: 1,2,6", OA: 15, Song Nbr: 1, "Song Title: Kentucky Babe", 48, 50, 46, 53, 48, 47, 55, 56, 53, 54
Session: Quartet Semi-Finals, "Contestant Name: FIRE AWAY!", "Subsessions: 1,2,6", OA: 15, Song Nbr: 2, "Song Title: You Must Have Been A Beautiful Baby", 54, 54, 51, 52, 51, 51, 54, 57, 55, 53
Session: Quartet Semi-Finals, "Contestant Name: Port City Sound", "Subsessions: 1,2,3,5", OA: 16, Song Nbr: 1, "Song Title: The Moment I Saw Your Eyes", 70, 67, 70, 67, 70, 67, 67, 70, 70, 67
Session: Quartet Semi-Finals, "Contestant Name: Port City Sound", "Subsessions: 1,2,3,5", OA: 16, Song Nbr: 2, "Song Title: Taking A Chance On Love", 68, 68, 68, 66, 69, 66, 68, 70, 71, 65
Session: Quartet Semi-Finals, "Contestant Name: SUREFIRE!", "Subsessions: 1,2,5", OA: 17, Song Nbr: 1, "Song Title: Beautiful Dreamer", 72, 68, 71, 72, 76, 74, 71, 70, 71, 71
Session: Quartet Semi-Finals, "Contestant Name: SUREFIRE!", "Subsessions: 1,2,5", OA: 17, Song Nbr: 2, "Song Title: Side By Side", 70, 71, 70, 72, 74, 73, 72, 72, 72, 72
Session: Quartet Semi-Finals, "Contestant Name: Sound Policy", "Subsessions: 2,6", OA: 18, Song Nbr: 1, "Song Title: Let's Get Away From It All", 63, 63, 61, 61, 59, 67, 61, 65, 63, 61
Session: Quartet Semi-Finals, "Contestant Name: Sound Policy", "Subsessions: 2,6", OA: 18, Song Nbr: 2, "Song Title: There, I've Said It Again", 60, 63, 57, 59, 57, 65, 58, 66, 59, 58
Session: Quartet Semi-Finals, "Contestant Name: Lazy River Four", "Subsessions: 1,2,6", OA: 19, Song Nbr: 1, "Song Title: Whispering", 56, 55, 56, 58, 51, 56, 57, 59, 59, 60
Session: Quartet Semi-Finals, "Contestant Name: Lazy River Four", "Subsessions: 1,2,6", OA: 19, Song Nbr: 2, "Song Title: Lydia (The Tattooed Lady)", 55, 57, 58, 55, 49, 50, 54, 57, 56, 54
