BBSTIX, BHS, SW and 10,000 Lakes Division Quartet and Chorus Convention
Land O' Lakes District, lol10sw, Stillwater, Minnesota, March 28, 2015
Subsessions: Chorus Finals (7), 1=10,000 Lakes Division Chorus, 2=Southwest Division Chorus, 3=10,000 Lakes Division Chorus District Qualification (Score), 4=Southwest Division Chorus District Qualification (Score), 5=10,000 Lakes Division Plateau A Chorus, 6=Southwest Division Plateau A Chorus, 7=10,000 Lakes Division Plateau AA Chorus, 8=Southwest Division Plateau AA Chorus, 9=10,000 Lakes Division Plateau AAA Chorus, 10=10,000 Lakes Division Most-Improved Chorus, 11=Southwest Division Most-Improved Chorus
Subsessions: Quartet Finals (16), 1=10,000 Lakes Division Quartet, 2=Southwest Division Quartet, 3=10,000 Lakes Division Quartet District Qualification (Overall), 4=Southwest Division Quartet District Qualification (Overall), 5=10,000 Lakes Division Out Of Division Quartet (Overall), 6=10,000 Lakes Division Seniors Qt District Qualification (Overall), 7=10,000 Lakes Division Novice Quartet, 8=Southwest Division Novice Quartet
Judge Count: 8
Panel - Chorus Finals:, "1 (MUS)=Johnson, Steve", "2 (MUS)=Keller, Kevin", "3 (PRS)=Dunckel, Kevin", "4 (PRS)=Nau, Ev", "5 (SNG)=Black, Ron", "6 (SNG)=St. John, Chad", "51 (PRS)=Cating, Mike", "52 (SNG)=Reynolds, Tim"
Panel - Quartet Finals:, "1 (MUS)=Johnson, Steve", "2 (MUS)=Keller, Kevin", "3 (PRS)=Dunckel, Kevin", "4 (PRS)=Nau, Ev", "5 (SNG)=Black, Ron", "6 (SNG)=St. John, Chad", "51 (PRS)=Cating, Mike", "52 (SNG)=Reynolds, Tim"
Session: Quartet Finals, "Contestant Name: St. Croix Crossing", "Subsessions: 1,3,6", OA: 5, Song Nbr: 2, "Song Title: Pass The Apples", 72, 74, 75, 77, 70, 73, 69, 72
Session: Quartet Finals, "Contestant Name: Straight Up", "Subsessions: 1,3", OA: 6, Song Nbr: 1, "Song Title: Drivin' Me Crazy", 64, 64, 66, 67, 65, 69, 66, 65
Session: Quartet Finals, "Contestant Name: Straight Up", "Subsessions: 1,3", OA: 6, Song Nbr: 2, "Song Title: All The Way", 63, 63, 65, 67, 62, 68, 64, 64
Session: Quartet Finals, "Contestant Name: Croix Four", "Subsessions: 1,3", OA: 7, Song Nbr: 1, "Song Title: When There's Love At Home", 65, 69, 73, 67, 68, 76, 67, 67
Session: Quartet Finals, "Contestant Name: Croix Four", "Subsessions: 1,3", OA: 7, Song Nbr: 2, "Song Title: It's Only A Paper Moon", 66, 71, 72, 68, 66, 75, 69, 65
Session: Quartet Finals, "Contestant Name: CHORD SMASH!", "Subsessions: 1,3,7", OA: 8, Song Nbr: 1, "Song Title: Bye Bye Blues", 68, 74, 74, 74, 81, 75, 74, 72
Session: Quartet Finals, "Contestant Name: CHORD SMASH!", "Subsessions: 1,3,7", OA: 8, Song Nbr: 2, "Song Title: Wait Till The Sun Shines, Nellie", 71, 74, 72, 75, 77, 74, 75, 73
Session: Quartet Finals, "Contestant Name: Spendin' Time on I-29", "Subsessions: 5", OA: 9, Song Nbr: 1, "Song Title: There's A New Gang On The Corner", 65, 69, 65, 65, 64, 64, 62, 63
Session: Quartet Finals, "Contestant Name: Spendin' Time on I-29", "Subsessions: 5", OA: 9, Song Nbr: 2, "Song Title: Where The Southern Roses Grow", 63, 70, 64, 66, 63, 63, 63, 62
Session: Quartet Finals, "Contestant Name: M & D Harmony", "Subsessions: 1,3,7", OA: 10, Song Nbr: 1, "Song Title: My Wild Irish Rose", 62, 55, 51, 55, 59, 58, 56, 52
