BBSTIX, BHS, International Quartet Preliminaries and District Chorus Convention
Sunshine District, Orlando, Florida, April 11, 2015
Subsessions: Chorus Finals (9), 1=Sunshine District Chorus, 2=Sunshine District Most-Improved Chorus (Raw)
Subsessions: Quartet Semi-Finals (15), 1=Sunshine District International Preliminary Quartet (2 Rounds), 2=Sunshine District International Preliminary Collegiate Qt (DR/Score), 3=Sunshine District Out Of District Collegiate Qt (Prelims), 4=Sunshine District Seniors Quartet
Subsessions: Quartet Finals (10), 1=Sunshine District International Preliminary Quartet (2 Rounds)
Judge Count: 8
Panel - Chorus Finals:, "1 (MUS)=Fisk, Al", "2 (MUS)=Wright, David", "3 (PRS)=Devine, Sean", "4 (PRS)=Fobart, Dave", "5 (SNG)=Barr, Jimmy", "6 (SNG)=Johnson, Rik", "51 (SNG)=Kastler, James"
Panel - Quartet Finals:, "1 (MUS)=Fisk, Al", "2 (MUS)=Wright, David", "3 (PRS)=Devine, Sean", "4 (PRS)=Fobart, Dave", "5 (SNG)=Barr, Jimmy", "6 (SNG)=Johnson, Rik", "51 (SNG)=Kastler, James", "52 (SNG)=Rubin, Alex"
Panel - Quartet Semi-Finals:, "1 (MUS)=Fisk, Al", "2 (MUS)=Wright, David", "3 (PRS)=Devine, Sean", "4 (PRS)=Fobart, Dave", "5 (SNG)=Barr, Jimmy", "6 (SNG)=Johnson, Rik", "51 (SNG)=Kastler, James", "52 (SNG)=Rubin, Alex"
Session: Quartet Semi-Finals, "Contestant Name: Flying by Paint", "Subsessions: 2", OA: 3, Song Nbr: 2, "Song Title: Just In Time", 66, 69, 67, 68, 69, 69, 73, 68
Session: Quartet Semi-Finals, "Contestant Name: Clean Cut", "Subsessions: 1", OA: 4, Song Nbr: 1, "Song Title: Anytime", 73, 71, 74, 74, 74, 75, 77, 74
Session: Quartet Semi-Finals, "Contestant Name: Clean Cut", "Subsessions: 1", OA: 4, Song Nbr: 2, "Song Title: Love's Old Sweet Song", 74, 72, 75, 71, 74, 73, 78, 72
Session: Quartet Semi-Finals, "Contestant Name: Living Fossils", "Subsessions: 1,4", OA: 5, Song Nbr: 1, "Song Title: Down Where The South Begins", 63, 63, 67, 65, 60, 62, 60, 65
Session: Quartet Semi-Finals, "Contestant Name: Living Fossils", "Subsessions: 1,4", OA: 5, Song Nbr: 2, "Song Title: What'll I Do?", 62, 64, 66, 64, 60, 60, 61, 68
Session: Quartet Semi-Finals, "Contestant Name: 5th Avenue", "Subsessions: 4", OA: 6, Song Nbr: 1, "Song Title: It's Only A Paper Moon", 60, 53, 63, 58, 57, 53, 55, 59
Session: Quartet Semi-Finals, "Contestant Name: 5th Avenue", "Subsessions: 4", OA: 6, Song Nbr: 2, "Song Title: Old St. Louie", 59, 51, 64, 60, 57, 53, 57, 61
Session: Quartet Semi-Finals, "Contestant Name: Nole Town Sound", "Subsessions: 2", OA: 7, Song Nbr: 1, "Song Title: Sentimental Gentleman From Georgia", 65, 68, 68, 69, 67, 64, 57, 69
Session: Quartet Semi-Finals, "Contestant Name: Nole Town Sound", "Subsessions: 2", OA: 7, Song Nbr: 2, "Song Title: When She Loved Me", 63, 65, 67, 66, 67, 62, 59, 72
Session: Quartet Semi-Finals, "Contestant Name: Kickstart", "Subsessions: 1", OA: 8, Song Nbr: 1, "Song Title: Sweet Pea", 73, 72, 73, 70, 75, 77, 81, 76
