BBSTIX, BHS, International Chorus Preliminaries and District Quartet Convention
Sunshine District, Orlando, Florida, October 10, 2015
Subsessions: Chorus Finals (7), 1=Sunshine District International Preliminary Chorus, 2=Sunshine District Most-Improved Chorus (Raw), 3=Sunshine District Scores for Evaluation Only
Subsessions: Quartet Finals (9), 1=Sunshine District Quartet (2 Rounds)
Subsessions: Quartet Semi-Finals (11), 1=Sunshine District Quartet (2 Rounds), 2=Sunshine District International Preliminary Seniors Qt (DR/Score), 3=Sunshine District Scores for Evaluation Only
Judge Count: 11
Panel - Chorus Finals:, "1 (MUS)=Kahlke, Jim", "2 (MUS)=Wigley, Paul", "3 (PRS)=Coffin, John", "4 (PRS)=Louque, Mike", "5 (SNG)=Brooks, Tim", "6 (SNG)=Guyton, Chad", "51 (MUS)=Boegehold, Evan", "52 (MUS)=Krigström, Rasmus", "53 (PRS)=Williams, Brian", "54 (SNG)=Reynolds, Tim"
Panel - Quartet Finals:, "1 (MUS)=Kahlke, Jim", "2 (MUS)=Wigley, Paul", "3 (PRS)=Coffin, John", "4 (PRS)=Louque, Mike", "5 (SNG)=Brooks, Tim", "6 (SNG)=Guyton, Chad", "51 (MUS)=Boegehold, Evan", "52 (MUS)=Krigström, Rasmus", "53 (PRS)=Williams, Brian", "54 (SNG)=Reynolds, Tim", "55 (SNG)=Rubin, Alex"
Panel - Quartet Semi-Finals:, "1 (MUS)=Kahlke, Jim", "2 (MUS)=Wigley, Paul", "3 (PRS)=Coffin, John", "4 (PRS)=Louque, Mike", "5 (SNG)=Brooks, Tim", "6 (SNG)=Guyton, Chad", "51 (MUS)=Boegehold, Evan", "52 (MUS)=Krigström, Rasmus", "53 (PRS)=Williams, Brian", "54 (SNG)=Reynolds, Tim", "55 (SNG)=Rubin, Alex"
Session: Quartet Semi-Finals, "Contestant Name: Mint Condition", "Subsessions: 2", OA: 3, Song Nbr: 1, "Song Title: Tie Me To Your Apron Strings Again", 62, 63, 62, 57, 58, 59, 56, 61, 62, 58, 61
Session: Quartet Semi-Finals, "Contestant Name: Mint Condition", "Subsessions: 2", OA: 3, Song Nbr: 2, "Song Title: Nevertheless (I'm In Love With You)", 66, 64, 63, 59, 59, 61, 63, 62, 63, 60, 62
Session: Quartet Semi-Finals, "Contestant Name: Signature", "Subsessions: 1", OA: 4, Song Nbr: 1, "Song Title: At Last", 83, 79, 82, 83, 83, 82, 77, 84, 80, 77, 84
Session: Quartet Semi-Finals, "Contestant Name: Signature", "Subsessions: 1", OA: 4, Song Nbr: 2, "Song Title: What'll I Do?", 83, 78, 83, 82, 83, 81, 75, 82, 81, 77, 80
Session: Quartet Semi-Finals, "Contestant Name: Dewey, Singum, and Howe", "Subsessions: 1", OA: 5, Song Nbr: 1, "Song Title: Who Told You?", 62, 60, 60, 60, 54, 62, 64, 58, 59, 58, 64
Session: Quartet Semi-Finals, "Contestant Name: Dewey, Singum, and Howe", "Subsessions: 1", OA: 5, Song Nbr: 2, "Song Title: That Old Quartet Of Mine", 66, 63, 62, 59, 55, 63, 64, 60, 60, 59, 61
Session: Quartet Semi-Finals, "Contestant Name: Equinox", "Subsessions: 1,2", OA: 6, Song Nbr: 1, "Song Title: Do You Really Love Me?", 67, 64, 68, 69, 63, 67, 65, 65, 64, 67, 68
Session: Quartet Semi-Finals, "Contestant Name: Equinox", "Subsessions: 1,2", OA: 6, Song Nbr: 2, "Song Title: I Wanna Be Around", 69, 66, 70, 67, 63, 69, 67, 64, 68, 65, 66
Session: Quartet Semi-Finals, "Contestant Name: Orlando Exchange", "Subsessions: 1", OA: 7, Song Nbr: 1, "Song Title: Sleepy Time Gal", 70, 65, 70, 72, 66, 70, 71, 68, 63, 68, 66
Session: Quartet Semi-Finals, "Contestant Name: Orlando Exchange", "Subsessions: 1", OA: 7, Song Nbr: 2, "Song Title: My Melancholy Baby", 68, 65, 69, 69, 65, 71, 70, 70, 62, 69, 61
Session: Quartet Semi-Finals, "Contestant Name: Lowdown Sound", "Subsessions: 1", OA: 8, Song Nbr: 1, "Song Title: Zing! Went The Strings Of My Heart", 68, 70, 69, 68, 68, 72, 65, 72, 66, 67, 71
Session: Quartet Semi-Finals, "Contestant Name: Lowdown Sound", "Subsessions: 1", OA: 8, Song Nbr: 2, "Song Title: If I Only Had A Brain", 70, 71, 68, 68, 68, 71, 64, 69, 65, 68, 69
Session: Quartet Semi-Finals, "Contestant Name: Wee Small Hours", "Subsessions: 1", OA: 9, Song Nbr: 1, "Song Title: Happy Days And Lonely Nights", 67, 65, 66, 64, 64, 63, 64, 63, 63, 61, 61
Session: Quartet Semi-Finals, "Contestant Name: Wee Small Hours", "Subsessions: 1", OA: 9, Song Nbr: 2, "Song Title: That's An Irish Lullaby", 68, 64, 67, 65, 64, 65, 63, 64, 65, 62, 62
Session: Quartet Semi-Finals, "Contestant Name: Sweater Vest", "Subsessions: 1", OA: 10, Song Nbr: 1, "Song Title: Bye Bye Blues", 68, 64, 60, 65, 56, 61, 60, 65, 62, 63, 64
Session: Quartet Semi-Finals, "Contestant Name: Sweater Vest", "Subsessions: 1", OA: 10, Song Nbr: 2, "Song Title: I Don't Know Why (I Just Do)", 70, 63, 61, 65, 58, 60, 60, 64, 62, 62, 65
Session: Quartet Semi-Finals, "Contestant Name: Rolling Tones", "Subsessions: 3", OA: 11, Song Nbr: 1, "Song Title: In The Still Of The Nite", 1, 5, 56, 47, 47, 48, 4, 5, 52, 47, 48
Session: Quartet Semi-Finals, "Contestant Name: Rolling Tones", "Subsessions: 3", OA: 11, Song Nbr: 2, "Song Title: Naughty Lady Of Shady Lane", 7, 1, 58, 1, 41, 43, 1, 1, 53, 44, 44
