BBSTIX, BHS, International Chorus Preliminaries and District Quartet Convention
Evergreen District, Spokane, Washington, October 17, 2015
Subsessions: Chorus Finals (15), 1=Evergreen District International Preliminary Chorus, 2=Evergreen District Chorus, 3=Evergreen District Small Chorus (12-29), 4=Evergreen District Most-Improved Chorus, 5=Evergreen District Scores for Evaluation Only
Subsessions: Quartet Finals (6), 1=Evergreen District Quartet (2 Rounds)
Subsessions: Quartet Semi-Finals (20), 1=Evergreen District Quartet (2 Rounds), 2=Evergreen District International Preliminary Seniors Qt (DR/Score), 3=Evergreen District Seniors Quartet
Judge Count: 11
Panel - Chorus Finals:, "1 (MUS)=Bartholomew, Anthony", "2 (MUS)=Kitzmiller, Scott", "3 (MUS)=Pope, Jeremiah", "4 (PRS)=Fredstrom, Martin", "5 (PRS)=Plaag, Gary", "6 (PRS)=Spilker, Gene", "7 (SNG)=Martinez, Eddie", "8 (SNG)=Richards, Chris", "9 (SNG)=Stock, Mark", "51 (MUS)=Dougherty, Jay"
Panel - Quartet Finals:, "1 (MUS)=Bartholomew, Anthony", "2 (MUS)=Kitzmiller, Scott", "3 (MUS)=Pope, Jeremiah", "4 (PRS)=Fredstrom, Martin", "5 (PRS)=Plaag, Gary", "6 (PRS)=Spilker, Gene", "7 (SNG)=Martinez, Eddie", "8 (SNG)=Richards, Chris", "9 (SNG)=Stock, Mark", "51 (MUS)=Dougherty, Jay", "52 (PRS)=Kelly, Michael"
Panel - Quartet Semi-Finals:, "1 (MUS)=Bartholomew, Anthony", "2 (MUS)=Kitzmiller, Scott", "3 (MUS)=Pope, Jeremiah", "4 (PRS)=Fredstrom, Martin", "5 (PRS)=Plaag, Gary", "6 (PRS)=Spilker, Gene", "7 (SNG)=Martinez, Eddie", "8 (SNG)=Richards, Chris", "9 (SNG)=Stock, Mark", "51 (MUS)=Dougherty, Jay", "52 (PRS)=Kelly, Michael"
Session: Quartet Semi-Finals, "Contestant Name: PrimaChord", "Subsessions: 1", OA: 14, Song Nbr: 1, "Song Title: Bright Was The Night", 67, 68, 68, 62, 64, 65, 67, 70, 66, 70, 63
Session: Quartet Semi-Finals, "Contestant Name: PrimaChord", "Subsessions: 1", OA: 14, Song Nbr: 2, "Song Title: Lover Come Back To Me", 64, 68, 68, 60, 63, 64, 68, 68, 66, 68, 61
Session: Quartet Semi-Finals, "Contestant Name: Tri-City Chord Company", "Subsessions: 1", OA: 15, Song Nbr: 1, "Song Title: I'm Beginning To See The Light", 64, 66, 64, 66, 64, 64, 64, 65, 64, 66, 65
Session: Quartet Semi-Finals, "Contestant Name: Tri-City Chord Company", "Subsessions: 1", OA: 15, Song Nbr: 2, "Song Title: That's An Irish Lullaby", 64, 69, 61, 67, 60, 62, 60, 62, 63, 66, 65
Session: Quartet Semi-Finals, "Contestant Name: Square One", "Subsessions: 1", OA: 16, Song Nbr: 1, "Song Title: Smile - SPECIAL ORDER", 66, 65, 67, 68, 68, 70, 65, 67, 66, 69, 67
Session: Quartet Semi-Finals, "Contestant Name: Square One", "Subsessions: 1", OA: 16, Song Nbr: 2, "Song Title: L O V E", 68, 64, 65, 70, 67, 69, 63, 65, 66, 68, 65
Session: Quartet Semi-Finals, "Contestant Name: On The Rocks", "Subsessions: 1", OA: 17, Song Nbr: 1, "Song Title: Love's Old Sweet Song", 73, 73, 74, 73, 72, 74, 72, 74, 73, 75, 73
Session: Quartet Semi-Finals, "Contestant Name: On The Rocks", "Subsessions: 1", OA: 17, Song Nbr: 2, "Song Title: Ain't That A Kick In The Head?", 73, 74, 75, 73, 72, 74, 71, 73, 74, 74, 74
Session: Quartet Semi-Finals, "Contestant Name: West Coast Fusion", "Subsessions: 1", OA: 18, Song Nbr: 1, "Song Title: It's You", 71, 71, 74, 78, 73, 71, 72, 70, 74, 68, 74
Session: Quartet Semi-Finals, "Contestant Name: West Coast Fusion", "Subsessions: 1", OA: 18, Song Nbr: 2, "Song Title: Firefly", 73, 72, 72, 74, 73, 72, 72, 70, 74, 70, 73
Session: Quartet Semi-Finals, "Contestant Name: Obsessive Chord Disorder (OCD)", "Subsessions: 1", OA: 19, Song Nbr: 1, "Song Title: Come Fly With Me", 59, 63, 61, 63, 64, 61, 67, 64, 64, 63, 61
Session: Quartet Semi-Finals, "Contestant Name: Obsessive Chord Disorder (OCD)", "Subsessions: 1", OA: 19, Song Nbr: 2, "Song Title: Let The Rest Of The World Go By", 62, 60, 62, 61, 63, 60, 64, 62, 62, 61, 60
Session: Quartet Semi-Finals, "Contestant Name: Timelines", "Subsessions: 1", OA: 20, Song Nbr: 1, "Song Title: My Romance", 63, 63, 65, 63, 68, 64, 64, 66, 63, 64, 65
Session: Quartet Semi-Finals, "Contestant Name: Timelines", "Subsessions: 1", OA: 20, Song Nbr: 2, "Song Title: A Matter Of Fact", 63, 63, 62, 67, 66, 63, 64, 64, 62, 60, 67
